claim_id,section,claim_summary,classification,confidence,evidence_type,file_path,symbol_or_object,line_range,commit_or_version,notes
E-027,10,MTPLX为primary local backend ADR-004,Observed,High,doc,docs/adr/ADR-004-mtplx-as-primary-local-backend.md,,,main,
E-028,5,ReviewState变更会级联影响5个node,Inferred,High,code,_factory/patterns/peer-review/src/peer_review/graph/nodes/,*,*,main,primary/reviewer/consensus/decision/memory
E-029,6,Smart Proxy字段白名单曾导致400 Bad Request,Observed,High,doc,docs/LESSONS_LEARNED_SMART_PROXY_MTPX.md,,,main,
E-030,9,网关无鉴权,Observed,High,code,_infra/smart_proxy_streaming.py,chat_proxy,112,main,无Auth中间件
E-031,9,密钥明文存于_infra/.env,Observed,High,config,_infra/.env.example,,,main,GLM_API_KEY/DEEPSEEK_API_KEY
E-032,8,依赖未pin精确版本,Observed,High,config,_factory/patterns/peer-review/pyproject.toml,,,main,
E-033,2,配置在projects/*/config/重复拷贝,Observed,High,config,projects/debt-collection/config/models.yaml,,,main,与根config/重复
E-034,8,无容器化交付物,Observed,High,doc,./,Dockerfile,,main,仓库无Dockerfile
E-035,11,可观测性仅简易logger,Observed,High,code,_factory/patterns/peer-review/src/peer_review/utils/logger.py,,,main,无OTel
E-036,4,consensus节点计算divergence_score,Observed,High,code,_factory/patterns/peer-review/src/peer_review/graph/nodes/consensus.py,,,main,
E-037,8,forge check校验任务图循环,Observed,High,code,_infra/forge_tools/src/forge/task_graph.py,,,main,
E-038,3,系统定位为AI项目孵化工厂,Observed,High,doc,README.md,,,main,
E-039,5,llm_client.py为高耦合点,Inferred,High,code,_factory/patterns/peer-review/src/peer_review/llm_client.py,,,main,4后端+privacy耦合
E-040,8,部署为Mac M1 Max单机手工启动,Observed,High,doc,HANDOFF.md,§3,,main,
E-041,9,无SBOM生成,Observed,High,doc,./,,,main,未找到SBOM文件
E-042,10,三文件SSOT不可拆,Recommended,High,doc,PROJECT_DOSSIER_V2.md,§10,,,下一任架构师约束
E-043,12,Proxy单点风险 High/High,Inferred,High,code,_infra/smart_proxy_streaming.py,,,main,无熔断/降级
E-044,12,VRAM LRU竞态风险 High/Medium,Inferred,Medium,code,_infra/smart_proxy_streaming.py,,,main,代码未见完整LRU
E-045,13,模型权重来源未知,Observed,Low,doc,./,,,main,~/LocalAI/gguf-models/不在repo
E-046,4,OpenAI-compatible /chat/completions协议,Observed,High,code,_infra/smart_proxy_streaming.py,chat_proxy,112,main,
E-047,7,无关系型业务数据库,Observed,High,code,projects/debt-collection/src/debt/,,,main,仅ledger.py无持久化
E-048,8,质量门禁无自动化,Observed,High,ci,./,,,main,无CI文件
E-049,9,Prompt注入防护缺失,Inferred,Medium,code,_factory/patterns/peer-review/src/peer_review/llm_client.py,,,main,未见过滤
E-050,10,primary→reviewer→consensus→decision顺序不可逆,Inferred,High,code,_factory/patterns/peer-review/src/peer_review/graph/review_graph.py,,,main,设计不变量
